Variável,Coeficiente (Θ)
Level,0.04282884803453895
SNR,0.3459526247311292
DL_bitrate,7.200400349816061e-05
UL_bitrate,-0.0077456748531687415
Speed,-0.04059946092522052
Intercepto (Θ₀),-3.7001320461855443
